,text,y,split
50,engaging overview johnson eccentric career,1,5
51,ragged cheap unassuming way work,1,7
52,actor much charisma youd happy listen reading phone book hugh grant sandra bullock two likeable actor,1,6
53,sandra nettelbeck beautifully orchestrates transformation chilly neurotic selfabsorbed martha heart begin open,1,7
54,behind snow game lovable siberian husky plus sheep dog picture host parkawrapped dose heart,1,7
55,everytime think undercover brother run steam find new way surprise amuse,1,9
56,manages original even though rip many idea,1,9
57,singercomposer bryan adam contributes slew song potential hit simply intrusive story whole package certainly capture intended er spirit piece,1,1
58,youd think america would enough plucky british eccentric heart gold yet act still charming,1,1
59,whether youre enlightened derrida lecture self derrida undeniably fascinating playful fellow,1,4
60,pleasant enough held together skilled ensemble actor,1,6
61,best american troubled teen since 1998s whatever,1,6
62,disney always hitormiss bringing beloved kid book screen tuck everlasting little,1,4
63,labour involved creating layered richness imagery chiaroscuro madness light astonishing,1,9
64,animated subplot keenly depicts inner struggle adolescent hero insecure uncontrolled intense,1,9
65,invincible werner herzog alive well living la,1,4
66,morton great actress portraying complex character morvern callar grows le compelling farther meander shocking start,1,6
67,part charm satin rouge avoids obvious humour lightness,1,8
68,son bride may good halfhour long come replete flattering sense mystery quietness,1,2
69,simmering psychological drama burst sudden violence startling slow buildup preceded,1,0
70,taut intelligent psychological drama,1,5
71,compelling comingofage drama arduous journey sensitive young girl series foster home fierce struggle pull free dangerous domineering mother hold,1,5
72,truly moving experience perfect example art done right help heal clarify comfort,1,5
73,delicately observed story deeply felt masterfully stylized triumph maverick director,1,4
74,heart deftly wrought suspense yarn whose richer shading work coloring rather substance,1,7
75,appearance treebeard gollums expanded role either loving youre seeing rolling eye loved gollums performance incredible,1,6
76,screenplay ingeniously constructed memento,1,7
77,book would pageturner cant wait see happens next,1,8
78,haneke challenge u confront reality sexual aberration,1,6
79,absorbing disturbing perhaps disturbing originally intended little clarity would gone long way,1,2
80,best year far benchmark best picture contender measured,1,2
81,painful watch viewer willing take chance rewarded two year accomplished riveting performance,1,4
82,startling give fascinating albeit depressing view iranian rural life close iraqi border,1,4
83,imaginative comedythriller,1,1
84,artsy flourish aside narc gritty get day,1,2
85,isle preposterous thoroughly misogynistic vista incredibly beautiful look,1,1
86,together tok orchestrate buoyant darkly funny dance death process demonstrate there still lot life hong kong cinema,1,2
87,director kapur filmmaker real flair epic landscape adventure better earlier englishlanguage overpraised elizabeth,1,9
88,blast educational energy bouncy animation catchy song escort entire 85 minute,1,0
89,sport action thats exciting field story care,1,5
90,doug liman director bourne directs traffic well get nice wintry look location absorbs u movie spycraft us damon ability focused sincere,1,9
91,tenderness piece still intact,1,3
92,katz us archival footage horrifying document lynching still photograph charming old reeltoreel recording meeropol entertaining child create song history powerful song,1,6
93,like film almost anthropologically detailed realization early80s suburbia significant without overstated,1,1
94,mcfarlanes animation lift firmly level comingofage film also jarring hard get back boy story,1,4
95,nothing else introduces promising unusual kind psychological horror,1,0
96,normal screen process bromide would barely enough sustain interstitial program discovery channel imax 3d clichés disappear vertiginous perspective opened photography,1,6
97,writerdirector burger imaginatively fan ember dormant national grief curiosity calcified chronic cynicism fear,1,1
98,rollercoaster ride,1,4
99,enjoyed time favor watching surprised quickly faded memory,1,1
100,chicago sophisticated brash sardonic completely joyful execution,1,6
101,steve irwins method ernest hemmingway accelerated speed volume,1,3
102,refreshing korean five female high school friend face uphill battle try take relationship deeper water,1,8
103,surface loversontherun crime flick lot common piesiewiczs kieslowski earlier work film like double life veronique,1,4
104,value held enterprise crew together previous adventure peril againcourage selfsacrifice patience pressure,1,4
105,possible sequel outshine original sl2,1,7
106,romantic comedy operates rule selfcontained universe,1,1
107,4 friend 2 couple 2000 mile pabst blue ribbon beer drink ultimate redneck roadtrip,1,0
108,often filled sense pure wonderment excitement often seen today cinema du sarcasm,1,1
109,might tempting regard mr andrew collaborator oddball mr earnharts quizzical charming allows u see finally artist,1,6
110,feelgood picture best sense term,1,9
111,edited shot syncopated style mimicking work subject pray turn idea documentary head making rousing invigorating fun lacking mtv puffery,1,3
112,mostly intelligent engrossing psychologically resonant suspenser,1,4
113,memoryasidentity obviation give secret life intermittent unease reaffirming longheld illusion indeed reality erasing recasts self,1,2
114,hiphop history metaphor love story,1,1
115,scope ambition accomplishment child century take kurys career whole new level,1,7
116,may dramatic gutwrenching impact holocaust film compelling story mainly way told people,1,8
117,drama cube personal revelation regarding shop mean big picture iconic character gambol fluidly story charming result,1,3
118,gentle compassionate drama grief healing,1,6
119,somewhere short tremor modern bscene neither funny clever though agreeably unpretentious way spend ninety minute,1,1
120,digitalvideo documentary standup comedian great glimpse different world,1,1
121,unlike teen flick swimming take time tell story cast mostly littleknown performer key role introduces intriguing ambiguity,1,3
122,enthralling playful constantly frustrates desire know truth man deconstructing format biography manner derrida would doubtless give blessing,1,3
123,extreme ops exceeds expectation good fun good action good acting good dialogue good pace good cinematography,1,8
124,pay nine buck hear suffering afghan refugee news still unaffected drama like make human,1,0
125,thunderous ride first quiet cadence pure finesse far shortage dilutes potency otherwise respectable action still flick fun host truly excellent sequence,1,3
126,obviously struck responsive chord many south korean work magic part world,1,7
127,run dont walk see barbed bracing comedy big screen,1,7
128,classy item legend may nothing left prove still chop drive show done,1,4
129,nature progress fessendens horror trilogy theme proved important especially finale,1,5
130,exactly gourmet meal fare fair even coming drivethru,1,6
131,imax made strap pair 3d goggles shut real world take vicarious voyage last frontier space,1,0
132,merely technical logistical feat russian ark mark cinematic,1,5
133,schweiger talented terribly charismatic quality essential star social anarchist,1,1
134,great deal sizzle little steak spectacular sizzle incarnation fizz infectious,1,5
135,original gem obsession time,1,8
136,delight newcomer story know bygone day,1,6
137,gloriously goofy gory midnight stuff,1,7
138,overcomes regular minefield comingofage cliche potent dos honesty sensitivity,1,9
139,sens havent dulled slasher film gorefests youre connoisseur psychological horror ticket,1,6
140,minor comedy try balance sweetness coarseness paint sad picture single scene,1,5
141,intensely personal yet unlike quill deftly show u temper time,1,2
142,lofi special effect folk cobbled nemesis together indulge force humanity hardware way george lucas long forgotten,1,0
143,like mike doesnt win point originality succeed following feelgood formula winning style offering target audience urban kid welcome role model optimism,1,7
144,hoot half great way american people see candidate like he giving 15cent stump speech,1,5
145,far perfect heart right place innocent wellmeaning,1,6
146,sad superior human comedy played back road life,1,1
147,waydowntown mean perfect boast huge charm factor smack originality,1,2
148,tim allen great role never hog scene fellow cast plenty laugh good line everyone comedy,1,8
149,load enjoyable conanesque claptrap punishing specialeffects soul assault mummy picture represent,1,4
150,enormously likable partly aware grasp absurd,1,0
151,here british flick gleefully unconcerned plausibility yet determined entertain,1,9
152,old story lively script sharp acting partially animated interlude make kiss seem minty fresh,1,6
153,must seen believed,1,0
154,ray liotta jason patric best work underwritten role dont fooled nobody deserves prize,1,8
155,everything yvan charlotte everything yvans rambunctious jewish sister nonjew husband feel funny true,1,6
156,sweet home alabama nice harmless date,1,3
157,year happiest surprise deal real subject always surprising way,1,7
158,fan behans work irish movie general rewarded borstal boy,1,5
159,mystery transparently obvious slowly paced thriller worth recommending two marvelous performance michael caine brendan fraser,1,4
160,faithful presumes book twin premise become back parent idea age time fleeting precious commodity matter old,1,9
161,stephen earnharts homespun documentary mule skinner blue nothing love posse trailer park denizen,1,9
162,solidly seaworthy chiller,1,1
163,get past fantastical aspect harsh reality isle youll get sockyouintheeye flick visual tourdeforce story unlike likely see anywhere else,1,0
164,many miss hit ultimately find humor foible human behavior welcome return root genre depend surprise,1,7
165,wellmade thriller certain level intelligence nonreactionary morality,1,5
166,there enough science make count educational enough beauty make unforgettable,1,1
167,remains solid somewhat heavyhanded account neardisaster done howard steady imaginative hand,1,5
168,makmalbaf follows resolutely realistic path uncompromising insight harsh existence kurdish refugee iran borderland,1,4
169,good chunk running time trapped effective claustrophobic thriller,1,1
170,crush clever captivating romantic comedy welcome pinch tartness,1,4
171,nair capture complexity big family trial tribulation,1,6
172,seaside splendor shallow beautiful people nice look wait story get going,1,8
173,rare urban comedy even attempt insight honesty disarming indie,1,5
174,rank among willams best screen work,1,9
175,engagingly capture maddening magnetic ebb flow friendship,1,6
176,experience engrossing like buried new environment,1,4
177,traditional moviemaking way done lot careful period attention well welcome wit,1,3
178,thoroughly enjoyable,1,0
179,maybe past year seen release worst comedy decade honestly analyze really isnt bad,1,9
180,droll wellacted characterdriven comedy unexpected deposit feeling,1,2
181,simply fun youll ever documentary,1,8
182,funny,1,0
183,watching hanekes aptly enough challenge punishment watching huppert great actress tearing landmark role riveting,1,4
184,cop story understands medium amazingly well,1,4
185,best understated performance jack nicholsons career,1,4
186,britney delivered big screen safe sound way like 20yearold superstar girl travel fame freeway,1,0
187,outside show business enjoy close look people dont really want know,1,1
188,kind nervous either give mild headache exhilarate,1,6
189,watching beanie gang put together slasher video spare part borrowed material much fun must make,1,0
190,child may understand everything happens im sure even miyazaki almost certainly fascinated undoubtedly delighted,1,1
191,fascinating fun,1,8
192,tadpole sophisticated funny goodnatured treat slight pleasure,1,7
193,insightful oscarnominated documentary child side everescalating conflict say away watchful parental eye give peace yet another chance,1,3
194,admired work lot,1,4
195,whether youre moved love bored frustrated youll still feel something,1,1
196,enough moment heartbreaking honesty keep glued screen,1,3
197,goodness queen latifah lot offer seemed problem flaunting natural gift must strong back,1,8
198,smart sweet playful romantic comedy,1,1
199,australian actordirector john polson awardwinning english cinematographer giles nuttgens make terrific effort disguising obvious energy innovation,1,8
200,without heavyhandedness dong provides perspective intelligent grasp human foible contradiction,1,1
201,solid lumpinthethroat family entertainment derives power sticking fact,1,0
202,entertainment keep diverted best lightens wallet without leaving sting,1,7
203,interesting fun see goodall chimpanzee biggerthanlife screen,1,5
204,wont bust gut intended merely blandly cinematic surgical examination make joke joke,1,8
205,somewhat crudely constructed gripping look person racked selfloathing becomes enemy race,1,3
206,extends writing jean genet john rechy film fassbinder perhaps even nocturnal work goya,1,2
207,narc may get originality wear bmovie heritage like badge honor,1,0
208,film striking ending realizes long way go fully understand sexual permutation involved,1,1
209,drumline entertaining admirable doesnt,1,8
210,best early play culture clash brother,1,3
211,rare beautiful,1,0
212,unabashedly schmaltzy thoroughly enjoyable true story,1,4
213,thoughtful look painful incident made headline 1995,1,9
214,walk good girl mixed emotion disapproval justine combined tinge understanding action,1,9
215,tsai mingliang taken trademark style refined crystalline point,1,8
216,purely propaganda work unabashed hero worship nonetheless likely inadvertently timely invaluable implicit reminder role u foreign policy played rise castro,1,3
217,trimmed 20 minute lavish threeyearold production enough grandeur scale satisfy grownup escapism,1,1
218,get truly unique character study crosssection americana hollywood couldnt possibly fictionalize believed,1,3
219,though clumsy ambition equally admirably uncommercial,1,6
220,daring mesmerizing exceedingly hard forget,1,6
221,dangerous life altar boy take adolescence feel painfully true,1,1
222,moore performance impress almost much work haynes 1995s safe,1,1
223,visit spymovie territory like novel cant put examines footnote history seldom brought light screen keep guessing first frame last,1,9
224,absorbing sliceofdepression life touch nerve ring true,1,5
225,mr parker brilliantly updated source grasped essence composing sorrowful hilarious tone poem alienated labor absurdist workplace sitcom,1,9
226,result something quite fresh delightful,1,7
227,persnickety preteen enjoy nonthreatening thrilling adventure,1,1
228,despite many infuriating flaw least amys selfabsorbed personality amys o honesty win,1,5
229,polanskis best film,1,2
230,day great bond good bond still make much better typical bond knockoff,1,6
231,polished korean politicalaction good bad hollywood action epic progress,1,9
232,elling portrayed quiet fastidiousness per christian ellefsen truly singular character whose frailty slightly magnified version one vex nearly everyone,1,8
233,denis cowriter michele petins impeccable screenplay penetrates rawness unflinching tantalizing lead provocatuers testud parmentier give superlative performance,1,2
234,absorbing trip mind motivation people stress well keen unsentimental look variation theme motherhood,1,2
235,admired particularly unexpected downer ending,1,8
236,passion aroused discord old new culture set strange stark beauty mideast desert lovingly perceptively filmed almost taste desiccated air,1,5
237,remarkably accessible affecting,1,6
238,never mind whether buy stuff barris cia hit man kooky yet shadowy vision clooney sustains throughout daring inventive impressive,1,3
239,triumph art direction narrative art direction,1,6
240,behan knew spin tale cant help think hed appreciate attempt turn life art,1,7
241,jirí hubacs script gem character engaging intimate dialogue realistic greatly moving scope silberstein family large grow attached life full strength warmth vitality,1,6
242,moore complex important also believe immensely entertaining david goliath story thats still much playing,1,1
243,additional storyline interesting entertaining doesnt magical quality beginning story like new footage still love old stuff,1,2
244,though mama take bit long find rhythm thirdact plot development somewhat melodramatic ribald humor touching nostalgia sure please anyone search jules jim new millennium,1,1
245,might buy idea youll definitely want tshirt,1,7
246,provides intriguing window imagination hermetic analysis todd solondz,1,5
247,windtalker shapelessly gratifying kind invite pick apart fault even admit somehow hit live,1,9
248,present astute appraisal middle american musical torpor desperate struggle escape,1,9
249,make u happy anyway,1,0
250,thoughtful moving piece face difficult issue honesty beauty,1,2
251,greatest romantic comedy past decade,1,0
252,wouldnt call good girl date antidate like good good horrid,1,0
253,benefit strong performance zhao dong jies face remember end,1,9
254,brimming detail nuance speaks volume ability human spirit find solace event could easily crush forever,1,3
255,director steven shainberg succeeded focusing intently character making quirky individual rather figure fun,1,0
256,ultimately stand forth important chronicle abuse latin america oppressive regime,1,4
257,soft percolating magic deadpan suspense,1,9
258,wellmade often lovely depiction mystery friendship,1,3
259,using audience figurative portofcall dong pull evenhanded ideological ship dock unloading continues longer journey still ahead,1,7
260,understands generation defines music much music defines generation,1,0
261,transporter lively fun unapologetically dumb,1,3
262,witness several greekamerican wedding happily victim none testify comparative accuracy m vardalos memory insight,1,3
263,ever possible say williams truly inhabited character,1,6
264,presenting impossible romance impossible world pumpkin dare u say either impossible force u confront whats possible might make,1,5
265,impressive debut firsttime writerdirector mark romanek especially considering background music video,1,6
266,incendiary deeply thoughtprovoking look peculiar peculiarly venomous bigotry increasingly frightening theocracy,1,4
267,performance top notch get accent nothing becomes emotional though still positive wrench sit,1,6
268,success also tempered element prove direct antithesis get right,1,7
269,solid affecting exactly thoughtprovoking,1,4
270,dazzlingly selfassured directorial debut hard know praise first,1,0
271,parker hold true wilde vision pure comedy absolutely meaning desire anything polished sophisticated entertainment love cleverness,1,9
272,münchs genuine insight make film occasional overindulgence forgivable,1,4
273,thankfully skirt rapidly deteriorating line fantasy reality take tongueincheek attitude even push croc hunter agenda,1,8
274,ultimately message trouble every day seems sexual desire disrupts life stasis,1,8
275,youre like sucker good old fashion romance someone shamelessly love eat mostly martha offer perfect ingredient satisfy appetite,1,1
276,enough everything reenactment archival footage talkinghead interview music simply sublime,1,5
277,stab absurdist comedy mostly humor sweet gentle occasionally cloying kind become iranian specialty,1,8
278,wonderful characterbased comedy,1,1
279,would interesting hear side talk woman count,1,4
280,endearingly offbeat romantic comedy great meetcute gimmick,1,6
281,unique tugofwar viewer expectation undeniable pleasure right,1,5
282,us oldtime formula terribly original rather messy love big dumb happy big fat greek wedding,1,3
283,almost impossible moved movie depiction sacrifice stirring epilogue postsoviet russia,1,8
284,know exactly godard word image dont add mesmerize,1,1
285,tone balanced reflective reasonable,1,1
286,principal cast fine bishop stevenson standouts,1,3
287,could change america full necessary discussion point accessible make complex politics understandable viewer looking nothing energetic entertainment,1,7
288,whats striking largely celebratory sense isolation permeates bastion individuality ikea world,1,8
289,youre mind set goofy comedy trooper entertain gross out bawdy comedy head game,1,1
290,somewhat blurred kinnears performance razor sharp,1,3
291,director mr ratliff wisely reject temptation make fun subject,1,2
292,anyone remembers 60 interested man response stroke ram das fierce grace worth seeking,1,2
293,intriguing beautiful read book likely disappointed,1,8
294,new guy heart brain,1,1
295,savvy exploration paranoia insecurity america culture fear,1,2
296,legendary irish writer brendan behans memoir borstal boy given loving screen transferral,1,7
297,film greatest asset much another connectthedots spyontherun picture,1,2
298,clever caper twist worthy david mamet enormous fun thinking audience,1,9
299,saddest film ever seen still manages uplifting overly sentimental,1,7
300,morton usual brilliant,1,9
301,even rough edge safely sanded american insomnia still pretty darned good,1,5
302,dont know precisely make steven soderberghs full frontal though didnt stop enjoying much,1,4
303,tug war ensues much snapshot modern china microcosm crash course mythology,1,5
304,nearly surreal dabbling french simple youll taking risk choose see enjoyed ride bump creamy depth ultimate theme,1,8
305,could say slow time could say character act way real people wouldnt thing couldnt say alias betty predictable,1,1
306,asia author anna battista italian superstar aspiring directress happens worst enemy,1,5
307,roman coppola may never become filmmaker dad heck filmmaker based cq ill certainly keeping eye next project,1,7
308,amusing breezily apolitical documentary life campaign trail,1,6
309,high melodrama emotionally engrossing thanks strong credible performance whole cast,1,3
310,finally genre delivers couple genre le,1,3
311,much enjoyable watch enlightening listen new side previous reality visit people able make impact theater world,1,7
312,spielberg rare director want invite viewer gawk applaud special effect want part action wallpaper chosen reality thankfully,1,0
313,post 911 philosophical message personal freedom first might palatable intended,1,9
314,hu liu offer natural matteroffact performance glint sorrow longing love,1,5
315,bold lyrical first feature raja amari expands pat notion middleaged woman wanna fun rousing treatise sensual empowerment,1,9
316,easier respect enthuse anderssons rigorous personal vision distanced distancing,1,4
317,girl gone wild gone civil,1,9
318,tunney allowed build uncommonly human character almost reallive girl complete trouble hope,1,5
319,least surprising still ultimately satisfying think sort comfort food mind,1,6
320,clever brutal strangely soulful,1,3
321,always remains movingly genuine,1,4
322,intelligent fiction learning cultural clash,1,2
323,grab child imagination amaze amuse,1,0
324,remarkable 179minute meditation nature revolution,1,3
325,would follow haneke creepy exploration rewarded brutal committed performance huppert magimel,1,9
326,involving true story chinese actor take drug wind institutionacted mostly actual people involved,1,6
327,hand year thoughtprovoking pay price intricate intellectual gamesmanship,1,5
328,terrific american sport dennis quaid athletic heart,1,4
329,highenergy drumming marching excellent care story little weak,1,7
330,compelling revenge thriller though somewhat weakened miscast leading lady,1,7
331,amazingly perceptive subtle supportive unsentimental look mark family,1,8
332,whole lot foul freaky funny,1,8
333,family fare,1,9
334,attal mix comedy serious exploration ego jealousy within seemingly serene marriage,1,0
335,diversity artist represented term style ethnicity prevents proceeding feeling repetitious appropriately brief 40minute running time,1,5
336,pianist fine valedictory work polanski made richer experience making movie somehow richer bargain,1,5
337,foster nail role giving tight focused performance illuminated shard feeling,1,7
338,even cant pronounce gyro correctly youll appreciate much vardalos humor transcends ethnic boundary,1,4
339,office work really alienating bartleby effectively make,1,8
340,farrell thankfully manages outshine role successfully play foil willis worldweary colonel,1,9
341,audience conditioned getting weepy saucereyed downycheeked moppet empathetic caretaker probably feel emotionally cheated film tart sugarfree wit,1,0
342,bennett dramatization personal descent postbreakup perdition morbid appeal thats tough shake,1,0
343,intriguing entertaining introduction johnson,1,6
344,expected sayles smart wordplay clever plot contrivance sharp ever though may overshadowed strong performance,1,7
345,model film like like,1,8
346,weber weissman demonstrate insight celebratory verve cockettes werent much gender sexual preference political agitprop simply triumph indomitable human rebel connect create,1,6
347,yeah flick damn good isnt great,1,6
348,unbelievably fun leading man away perfection,1,6
349,overthetop bit ostentatious thats got oodles style substance,1,8
350,poignant powerful narrative reveals reading writing arithmetic subject learn life,1,2
351,nicely serf examination society transition,1,8
352,boisterous heartfelt comedy,1,2
353,tender touching drama based true story troubled africanamericans quest come term origin reveals yearning heart acceptance within family circle,1,4
354,randy sexy people gorgeous place pushed pulled literally figuratively desire sex lucía make arousing good time,1,1
355,absorbing character study andré turpin,1,1
356,celebrated sundance slight comedy manner winning performance glossy glib charm thats hard beat,1,8
357,renners performance dahmer unforgettable deeply absorbing,1,3
358,single performance awardworthy would expect nothing le bunch,1,5
359,love reading andor poetry mean check youll probably love,1,2
360,though particular interest student enthusiast international dance world music designed make viewer age cultural background rhythmic ability want get dance,1,1
361,energetic boldly provocative,1,5
362,star war back major way,1,8
363,album wont want miss,1,2
364,rare find dazzle eye challenge brain satisfies lust fastpaced action minority report delivers whole lot,1,8
365,transition adulthood fraught there much truth small amount poetry girl cant swim,1,7
366,there nothing fresh wannabe written mr demeo produced directed charles addessi much time feel authentic,1,2
367,jacquots tosca treat,1,0
368,end thing audience like beatrice watchful affection monster,1,2
369,liked movie notting hill four wedding funeral bridget jones diary high fidelity wont want miss boy,1,5
370,gentle melding drama comedy make time something true buff enjoy,1,0
371,romanek keep constantly taut reflecting character instability metaphorical visual style unnerving heartbeatlike score,1,1
372,wholeheartedly recommend everyone see historical significance alone,1,3
373,hey else need shower,1,8
374,longley constructed remarkably coherent horrifically vivid snapshot turbulent day,1,8
375,although bang cliched drum time crowdpleasers fresh dialogue energetic music goodnatured spunk often infectious,1,9
376,often gruelling heartbreaking witness seldahl wollters sterling performance raise far level usual maudlin disease,1,1
377,go see enjoy,1,6
378,stunning dreamlike visuals impress even viewer little patience eurofilm pretension,1,7
379,george clooney prof he quite talented director sam rockwell show u he worldclass actor confession dangerous mind,1,6
380,there vastness implied metropolis breathtaking,1,2
381,murderous maid may well comprehensive film also strike closest truth,1,8
382,people dogtown zboys funny aggressive alive watch cant wait see next,1,9
383,greenguts monster movie go beaut,1,5
384,bundy michael reilly burke octopus 2 river fear right amount charisma menace,1,8
385,deceivingly simple grows power retrospect,1,7
386,ana vivid vibrant individual movie focus upon make successful accessible,1,0
387,slick skillful little horror,1,0
388,witty take change risk romance us humour make point acceptance growth,1,7
389,anderson us hitormiss aesthetic hit often enough keep entertaining even none make lick sense,1,0
390,bubba hotep wonderful bravura lead performance bruce campbell doesnt deserve leave building everyone aware,1,0
391,despite long running time pace never feel slack there scene scream bathroom break,1,8
392,bullock good job working natural likability,1,0
393,precious increment artfully camouflaged everyday activity,1,7
394,kinnear give tremendous performance,1,5
395,best kind since brazil lucas take note use special effect,1,2
396,frailty written well even simple goddammit near end take whole meaning,1,6
397,hour photo intriguing snapshot man delusion bad doesnt flash insight,1,9
398,kaufman creates eerie sense time event night matthew killed,1,8
399,chalk adoration de niro murphy pretty good time despite myriad flaw,1,1
400,scene sensibility familiar exudes kind nostalgic spymovie charm time fresh free usual thriller nonsense seems happening first time,1,0
401,represents betterthanaverage moviemaking doesnt demand dumb distracted audience,1,0
402,charming yet poignant tale irrevocable tie bind,1,6
403,enchanting spectacular potter fan anxious ride hogwarts express toward new year magic mischief,1,6
404,talent actor help moonlight mile rise heartonitssleeve writing,1,3
405,humble effort spiced wry humor genuine pathos especially morgan redgrave,1,3
406,examination aquatic life shore baja california peninsula mexico offer engrossing way demonstrate virtue imax format,1,0
407,dark disturbing also surprisingly funny,1,2
408,avalanche eyepopping visual effect,1,4
409,start bang fizzle like wet stick dynamite end still worth look,1,8
410,impressive though film openended finale refuse entirely close character emotional wound,1,0
411,hip ride hypertime clockstoppers lively enjoyable adventure age time,1,1
412,grenier terrific bringing unforced rapidfire delivery tobacks heidegger nietzschereferencing dialogue,1,4
413,polished relatively sincere piece escapism,1,6
414,story wrap back around kind elegant symmetry thats rare today warned slow slog get,1,7
415,whole cast look much fun slapstick antic silly street patois tossing around obscure expression like bellini mullinski compact 86 minute breeze,1,8
416,freaky scene crew wonder theyre ghost imagining alive sly wink others without becoming postmodern joke made creepy men sardine warped logic,1,6
417,long leave justine youll wondering happen wishing best whatever might mean,1,6
418,still pretentious filled subtext entertaining enough face value recommend anyone looking something different,1,8
419,call wimp cried three time animated sweet,1,8
420,notorious c h oodles vulgar highlight,1,2
421,inspiring heartaffecting desperate attempt vietnamese refugee living u relocation camp keep hope alive 1975,1,3
422,level maturity displayed 33yearold firsttime feature director astonishing considering inexperience subject matter,1,9
423,splendid entertainment young spirit accomplished aspect fullness spirit sense ease come experience,1,8
424,disney liveaction division history releasing cinematic flotsam occasion unearthed rare gem,1,2
425,message seems facile earlier film image terrible beauty may care,1,9
426,whether kiss future cult classic destined completely forgotten open question risktakers crowd check form opinion,1,0
427,moment account life artist frida kahlo among cinema finest year unfortunately theyre sandwiched impossibly dry account kahlos life imaginable,1,4
428,moment heartrending honest unaffected gentle way,1,3
429,stay clear reminding true story youre likely helluva time movie,1,2
430,enough twist tale make far satisfying almost horror recent memory,1,5
431,sundance festival become buzzobsessed fan producer descend upon utah january ferret next great thing tadpole film declared year really next pretty good thing,1,1
432,working elliotts memoir rohmer fashion sort delicate articulate character relationship study he favored decade,1,5
433,story feel like serious read filled heavy dos always enticing sayles dialogue,1,6
434,really count bloody sunday connects visceral level transcends language,1,1
435,crime matter le character although filmmaker supply enough complication close call doublecrosses satisfy u,1,8
436,hilarious romantic comedy,1,8
437,actor fantastic make worth trip theatre,1,8
438,ranging funny shattering featuring year best acting personal velocity gather plenty dramatic momentum,1,9
439,complain time seeing idea repeated film bourne identity prof fresh take always possible,1,0
440,recall quiet freakouts like lavventura repulsion,1,1
441,epic documentary could get spike lee jim brown american long last give subject worthy talent,1,2
442,story congeals feel piece star war saga falling place way make spine tingle revelation excitement,1,6
443,great comedy filmmaker know great comedy neednt always make u laugh tim story yet barbershop show he way,1,4
444,best example artful large format filmmaking likely see anytime soon,1,2
445,lends narcotizing bland sinister though nearly sinister biennial disney girl machination biennial disney boy,1,4
